Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10000,1.4189361,0.00029700165,12.71434566558435,42.28448275862069,0.29426295,12.703843459422455,3.1081848,0.4689913
20000,1.4188805,0.00029099692,12.68618189336873,40.89915966386555,1.1371982,12.69601239677237,1.6559682,0.39699724
30000,1.4184484,0.00028500333,12.9308724745791,41.59148936170213,1.6090087,12.912493117312168,0.8504204,0.29312563
40000,1.4181057,0.00027898652,13.012035105114656,40.6804979253112,1.8027499,13.019492268067673,0.65999466,0.20939493
50000,1.4179249,0.00027298828,13.319428357677381,39.778688524590166,1.9279059,13.327349846480322,0.6197789,0.20141369
60000,1.4175472,0.00026699848,13.103065942342464,37.503846153846155,2.0323157,13.104710732973539,0.60068476,0.20224948
70000,1.417255,0.00026100394,13.641187187836652,36.91254752851711,2.2302847,13.644769327722122,0.58781326,0.19432627
80000,1.4171174,0.0002550087,13.878193829384717,35.403636363636366,2.3835945,13.867700739773838,0.5980977,0.18342362
90000,1.4165933,0.00024900446,14.524795360431291,35.23913043478261,2.522548,14.53273521990016,0.541977,0.1786552
100000,1.4164777,0.00024299986,15.40707983602177,35.414545454545454,2.648052,15.396799774169923,0.5227929,0.20814632
110000,1.4160805,0.00023699977,16.10421275012735,35.18115942028985,2.8650079,16.09907819568247,0.45018035,0.22518933
120000,1.4158733,0.00023100831,16.73811436623566,37.74031007751938,2.957853,16.732919711475226,0.36967424,0.16179542
130000,1.4155219,0.00022500679,17.37973363109794,38.86852589641434,2.9611666,17.382613641807282,0.32377914,0.2335034
140000,1.4150327,0.00021900437,18.557209780276647,45.16129032258065,2.8846424,18.552219764428205,0.28202152,0.24643303
150000,1.4147847,0.00021300158,19.394672541179467,48.72636815920398,2.829063,19.408511370568725,0.2995171,0.19386216
160000,1.4144424,0.000207011,21.48487282384719,58.458333333333336,2.7219205,21.462327122688293,0.3055872,0.16436516
170000,1.4141847,0.00020101735,21.68753802073989,62.70063694267516,2.718062,21.696815502871374,0.92669004,0.12368615
180000,1.4140505,0.0001950119,23.193559468417735,69.05594405594405,2.6231275,23.17509600499293,0.26104423,0.12023397
190000,1.4139149,0.00018900221,24.474602939956117,74.93181818181819,2.6218588,24.44403737964052,0.32647502,0.1375347
200000,1.4136984,0.00018300244,26.332246034566698,85.09482758620689,2.47017,26.26302483986164,0.3089938,0.13323936
210000,1.4134736,0.00017700388,26.637389432925445,84.51282051282051,2.4507816,26.679053494054028,0.35491154,0.120211914
220000,1.4132358,0.00017101938,28.163798277623187,92.00934579439253,2.389278,28.226744125936634,0.31936213,0.10692706
230000,1.4131395,0.00016502714,29.811658829450607,100.32323232323232,2.4747064,29.763882492527816,0.30346122,0.10813657
240000,1.4130932,0.00015902276,31.69515109225944,108.6923076923077,2.2876499,31.745795973054655,0.2754955,0.07711424
250000,1.4129962,0.00015301479,32.324844583545044,108.17391304347827,2.409665,32.06334999333257,0.31846464,0.085025
260000,1.412858,0.00014701583,33.60575906846715,113.52873563218391,2.5216868,33.601142773683044,0.31464675,0.10695198
270000,1.4128249,0.0001410147,33.06586274092502,105.65957446808511,2.5813181,33.12614542372683,0.27980083,0.093633175
280000,1.4128331,0.00013501567,35.155072743693985,117.85714285714286,2.518556,35.204672904241654,0.26825598,0.06901984
290000,1.4127511,0.00012901983,35.88724973943175,120.92682926829268,2.3910506,35.879481873861174,0.25879338,0.09277956
300000,1.4126347,0.00012300415,36.08637417412617,113.19318181818181,2.6092463,36.10305008021268,0.2816377,0.09702465
310000,1.4126031,0.00011700167,35.94481553857246,110.85393258426966,2.6248915,35.822024548991344,0.2676269,0.079798445
